Date,Fioul,Charbon,Gaz,NuclÈaire,Solaire,Eolien,Hydraulique,Production,Consommation
2021-05-12,80.9375,20.708333333333332,2256.2916666666665,37699.833333333336,1989.6666666666667,2891.9375,8554.041666666666,53493.416666666664,48767.020833333336
2021-05-13,78.79166666666667,20.833333333333332,1109.6666666666667,38101.395833333336,2007.25,3634.5625,8255.854166666666,53208.354166666664,44004.333333333336
2021-05-14,78.79166666666667,20.4375,1095.1041666666667,39067.708333333336,2134.5,3774.1666666666665,9202.291666666666,55373.0,45916.9375
2021-05-15,78.1875,20.416666666666668,715.9791666666666,37512.270833333336,1222.2083333333333,5943.854166666667,8825.354166666666,54318.270833333336,44441.916666666664
2021-05-16,77.8125,20.875,646.1666666666666,36160.895833333336,1402.7708333333333,6514.229166666667,8634.229166666666,53456.979166666664,42945.458333333336
2021-05-17,78.39583333333333,20.625,1987.0208333333333,38289.229166666664,2201.0,10246.645833333334,9421.854166666666,62244.77083333333,48926.229166666664
2021-05-18,241.5625,20.854166666666668,2189.7708333333335,39393.583333333336,1682.4583333333333,3582.2708333333335,9796.458333333334,56906.95833333334,49925.541666666664
2021-05-19,76.875,20.729166666666668,2318.0625,41008.729166666664,2311.0625,4680.708333333333,9450.1875,59866.354166666664,50120.979166666664
2021-05-20,74.1875,20.895833333333332,2076.4791666666665,39689.5,2662.4375,4700.520833333333,9631.770833333334,58855.79166666667,49677.354166666664
2021-05-21,80.20833333333333,21.104166666666668,571.2916666666666,37582.3125,1580.9791666666667,10688.208333333334,8986.9375,59511.041666666664,48762.854166666664
2021-05-22,81.875,20.979166666666668,522.875,33515.708333333336,1941.5625,9274.083333333334,8855.770833333334,54212.85416666667,44306.229166666664
2021-05-23,80.08333333333333,20.875,665.9166666666666,33487.979166666664,2206.2291666666665,6039.25,8634.270833333334,51134.604166666664,41684.604166666664
2021-05-24,79.85416666666667,21.333333333333332,537.6666666666666,36560.770833333336,1775.4583333333333,9201.958333333334,8783.083333333334,56960.12500000001,44044.395833333336
2021-05-25,81.14583333333333,21.4375,1202.7708333333333,38114.770833333336,2310.2291666666665,9157.625,9185.083333333334,60073.0625,49623.270833333336
2021-05-26,86.16666666666667,21.0625,1527.0208333333333,38979.458333333336,2209.5833333333335,5627.375,9176.958333333334,57627.62500000001,49922.270833333336
2021-05-27,78.1875,20.666666666666668,2355.9791666666665,39617.5625,2710.3125,1083.0625,9464.979166666666,55330.75,48386.9375
2021-05-28,79.4375,20.5,2597.6041666666665,39243.958333333336,2697.5208333333335,1862.9583333333333,9415.3125,55917.29166666667,46276.5625
2021-05-29,93.39583333333333,20.729166666666668,610.9791666666666,37874.416666666664,2348.7083333333335,2958.2291666666665,8168.979166666667,52075.43749999999,40636.458333333336
2021-05-30,78.125,21.104166666666668,660.5416666666666,35233.854166666664,2570.3333333333335,3669.5625,7355.979166666667,49589.5,38157.666666666664
2021-05-31,83.02083333333333,20.666666666666668,1331.1458333333333,38289.104166666664,2820.875,3411.1666666666665,8587.0,54542.979166666664,44057.75
2021-06-01,122.375,18.458333333333332,1381.2916666666667,39199.708333333336,2280.4375,3743.4791666666665,8601.3125,55347.0625,45210.104166666664
2021-06-02,70.5,12.520833333333334,876.75,39626.104166666664,1890.3958333333333,2863.2291666666665,8553.145833333334,53892.645833333336,45518.104166666664
2021-06-03,67.89583333333333,13.166666666666666,911.8333333333334,39177.666666666664,2091.4583333333335,1238.1875,8648.791666666666,52149.0,45635.104166666664
2021-06-04,69.04166666666667,11.9375,1994.6875,39447.479166666664,1472.7708333333333,1719.4375,9251.9375,53967.291666666664,45126.104166666664
2021-06-05,69.77083333333333,11.895833333333334,1117.6458333333333,38148.166666666664,2388.875,2075.7291666666665,8835.0625,52647.14583333333,39998.291666666664
2021-06-06,68.66666666666667,12.083333333333334,890.3333333333334,37584.416666666664,2281.5,1604.3333333333333,8516.083333333334,50957.41666666667,38032.729166666664
2021-06-07,69.52083333333333,12.083333333333334,2605.2083333333335,38800.395833333336,2309.4583333333335,1147.1458333333333,9057.395833333334,54001.20833333334,44307.8125
2021-06-08,72.41666666666667,11.395833333333334,2966.6041666666665,39649.604166666664,2697.8958333333335,964.8333333333334,9226.958333333334,55589.708333333336,45438.479166666664
2021-06-09,72.125,11.0625,2472.5208333333335,39540.104166666664,2726.1666666666665,1056.625,9097.6875,54976.291666666664,45857.1875
2021-06-10,69.89583333333333,11.104166666666666,2816.2708333333335,39503.3125,2740.4166666666665,1027.7291666666667,9050.3125,55219.041666666664,46138.229166666664
2021-06-11,74.16666666666667,11.104166666666666,2325.3333333333335,39273.916666666664,2688.5833333333335,1328.0833333333333,9218.666666666666,54919.854166666664,45886.229166666664
2021-06-12,127.83333333333333,4.833333333333333,715.875,37179.145833333336,2499.625,1547.4166666666667,8221.625,50296.354166666664,41043.145833333336
2021-06-13,70.29166666666667,1.9375,414.4375,33923.895833333336,2795.4166666666665,1901.6875,7696.75,46804.416666666664,38799.875
2021-06-14,181.75,1.9375,1774.6875,38162.729166666664,2964.5833333333335,1453.6875,8936.083333333334,53475.458333333336,45882.041666666664
2021-06-15,69.3125,1.6458333333333333,2692.7083333333335,38080.375,2875.75,906.5625,8237.020833333334,52863.375,47415.75
2021-06-16,120.6875,1.6875,2900.3125,37942.0,2450.7708333333335,1163.4375,8352.520833333334,52931.41666666667,48035.3125
2021-06-17,222.95833333333334,1.5833333333333333,2541.2708333333335,37152.0,1527.4583333333333,3052.9583333333335,8648.916666666666,53147.145833333336,47447.083333333336
2021-06-18,95.8125,0.8125,2162.875,36091.5625,2310.7916666666665,3999.1666666666665,9055.083333333334,53716.104166666664,46387.625
2021-06-19,64.0625,0.6875,1208.0416666666667,35357.3125,1925.7291666666667,2043.0625,7858.6875,48457.58333333333,41429.979166666664
2021-06-20,64.29166666666667,0.3333333333333333,546.0416666666666,35988.5625,1744.9791666666667,2295.0,7193.041666666667,47832.24999999999,38670.5625
2021-06-21,67.6875,1.0208333333333333,1928.9583333333333,38349.104166666664,2204.6458333333335,2098.8125,8643.916666666666,53294.14583333333,44778.75
2021-06-22,68.04166666666667,1.0,2374.4166666666665,38393.395833333336,1908.6666666666667,3666.9583333333335,8611.625,55024.10416666667,45735.333333333336
2021-06-23,65.47916666666667,0.2916666666666667,2606.8333333333335,40093.291666666664,1726.5625,2190.125,8876.708333333334,55559.291666666664,45855.0
2021-06-24,66.625,0.0,2618.4166666666665,39979.666666666664,1950.25,1788.5416666666667,8914.958333333334,55318.45833333333,45573.979166666664
2021-06-25,67.04166666666667,28.104166666666668,2485.25,39820.541666666664,2557.1875,1351.4583333333333,8589.8125,54899.395833333336,44946.916666666664
2021-06-26,59.541666666666664,394.0833333333333,1433.75,39099.3125,2548.5625,695.5416666666666,8006.020833333333,52236.8125,40393.020833333336
2021-06-27,84.6875,19.4375,721.5208333333334,37980.833333333336,1530.7083333333333,1858.0,7189.145833333333,49384.33333333334,38584.041666666664
2021-06-28,61.770833333333336,240.45833333333334,2407.3541666666665,40364.479166666664,1853.5,1340.2916666666667,8215.0,54482.854166666664,44775.75
2021-06-29,137.16666666666666,419.125,2870.5,40617.583333333336,2030.6041666666667,1689.75,8539.833333333334,56304.5625,45765.3125
2021-06-30,131.66666666666666,9.0625,2916.625,39390.5625,2094.6666666666665,2049.2708333333335,8492.5625,55084.416666666664,45802.0
2021-07-01,101.58333333333333,0.8333333333333334,2707.75,38120.604166666664,2558.3333333333335,812.875,8874.020833333334,53176.0,45884.395833333336
2021-07-02,85.95833333333333,2.25,3260.8125,38029.125,2613.2916666666665,462.2083333333333,8469.854166666666,52923.5,45821.5625
2021-07-03,68.39583333333333,1.0625,1509.5,37350.041666666664,1774.8958333333333,1551.4375,7989.645833333333,50244.97916666667,40887.229166666664
2021-07-04,65.72916666666667,2.9583333333333335,800.4583333333334,35797.541666666664,1603.4375,2468.6041666666665,7757.083333333333,48495.8125,38597.708333333336
2021-07-05,67.375,154.95833333333334,2659.9791666666665,37639.666666666664,2423.6875,3543.5833333333335,7719.5625,54208.8125,45145.8125
